Абхазия;Сухуми;240705;Азия
Австралия;Канберра;25028000;Австралия
Австрия;Вена;8579747;Европа
Азербайджан;Баку;9730500;Азия
Албания;Тирана;2886026;Европа
Алжир;Алжир;40375954;Африка
Ангола;Луанда;25830958;Африка
Андорра;Андорра-ла-Велья;76098;Европа
Антигуа и Барбуда;Сент-Джонс;92738;Америка
Аргентина;Буэнос-Айрес;43131966;Америка
Армения;Ереван;2998600;Азия
Афганистан;Кабул;33369945;Азия
Багамские Острова;Нассау;392718;Америка
Бангладеш;Дакка;160991563;Азия
Барбадос;Бриджтаун;285006;Америка
Бахрейн;Манама;1316500;Азия
Белоруссия;Минск;9498400;Европа
Белиз;Бельмопан;360838;Америка
Бельгия;Брюссель;11250659;Европа
Бенин;Порто-Ново;10315244;Африка
Болгария;София;7202198;Европа
Боливия;Сукре;11410651;Америка
Босния и Герцеговина;Сараево;3791622;Европа
Ботсвана;Габороне;2303820;Африка
Бразилия;Бразилиа;205738331;Америка
Бруней;Бандар-Сери-Багаван;428874;Азия
Буркина Фасо;Уагадугу;18450494;Африка
Бурунди;Бужумбура;11552561;Африка
Бутан;Тхимпху;784103;Азия
Вануату;Порт-Вила;270470;Австралия
Ватикан;Ватикан;842;Европа
Великобритания;Лондон;65341183;Европа
Венгрия;Будапешт;9823000;Европа
Венесуэла;Каракас;31109000;Америка
Восточный Тимоp;Дили;1212107;Азия
Вьетнам;Ханой;92700000;Азия
Габон;Либревиль;1763142;Африка
Гаити;Порт-о-Пренс;10911819;Америка
Гайана;Джорджтаун;801623;Америка
Гамбия;Банжул;2054986;Африка
Гана;Аккра;28033375;Африка
Гватемала;Гватемала;16176133;Америка
Гвинея;Конакри;12947122;Африка
Гвинея-Бисау;Бисау;1888429;Африка
Германия;Берлин;82162000;Европа
Гондурас;Тегусигальпа;8725111;Америка
Гренада;Сент-Джорджес;107327;Америка
Греция;Афины;10846979;Европа
Грузия;Тбилиси;3720400;Азия
Дания;Копенгаген;5668743;Европа
Демократическая республика Конго;Киншаса;79722624;Африка
Джибути;Джибути;899598;Африка
Доминика;Розо;73016;Америка
Доминиканская Республика;Санто-Доминго;10648613;Америка
Египет;Каир;91545000;Африка
Замбия;Лусака;16717332;Африка
Зимбабве;Хараре;15966810;Африка
Израиль;Иерусалим;8522000;Азия
Индия;Нью-Дели;1294186000;Азия
Индонезия;Джакарта;260581100;Азия
Иордания;Амман;6879300;Азия
Ирак;Багдад;37547686;Азия
Иран;Тегеран;79003827;Азия
Ирландия;Дублин;4635400;Европа
Исландия;Рейкьявик;332529;Европа
Испания;Мадрид;46423064;Европа
Италия;Рим;60665551;Европа
Йемен;Сана;27477600;Азия
Кабо-Верде;Прая;526993;Африка
Казахстан;Астана;17753200;Азия
Камбоджа;Пномпень;15827241;Азия
Камерун;Яунде;23924407;Африка
Канада;Оттава;34988000;Америка
Катар;Доха;2269672;Азия
Кения;Найроби;47251449;Африка
Кипр;Никосия;848319;Азия
Киргизия;Бишкек;6008600;Азия
Кирибати;Южная Тарава;114405;Острова
Китай;Пекин;1379022000;Азия
Колумбия;Санта-Фе-де-Богота;48803000;Америка
Коморские острова;Морони;806153;Африка
Коста-Рика;Сан-Хосе;4773130;Америка
Кот-д’Ивуар;Ямусукро;23254184;Африка
Куба;Гавана;11392889;Америка
Кувейт;Эль-Кувейт;4007146;Азия
Лаос;Вьентьян;6693300;Азия
Латвия;Рига;1959900;Европа
Лесото;Масеру;2160309;Африка
Либерия;Монровия;4503438;Африка
Ливан;Бейрут;5988153;Азия
Ливия;Триполи;6330159;Африка
Литва;Вильнюс;2869690;Европа
Лихтенштейн;Вадуц;37622;Европа
Люксембург;Люксембург;576249;Европа
Маврикий;Порт-Луи;1261208;Африка
Мавритания;Нуакшот;3631775;Африка
Мадагаскар;Антананариву;24915822;Африка
Македония;Скопье;2069172;Европа
Малави;Лилонгве;16310431;Африка
Малайзия;Куала-Лумпур;31700000;Азия
Мали;Бамако;18134835;Африка
Мальдивы;Мале;341256;Азия
Мальта;Валлетта;434403;Европа
Марокко;Рабат;33996000;Африка
Маршалловы Острова;Маджуро;53069;Острова
Мексика;Мехико;122273473;Америка
Мозамбик;Мапуту;28751362;Африка
Молдавия;Кишинев;3553100;Европа
Монако;Монако;37863;Европа
Монголия;Улан-Батор;2966294;Азия
Мьянма;Найпьидо;54363426;Азия
Намибия;Виндхук;2513981;Африка
Непал;Катманду;28850717;Азия
Нигер;Ниамей;20715285;Африка
Нигерия;Абуджа;186987563;Африка
Нидерланды;Амстердам;16985621;Европа
Никарагуа;Манагуа;6198154;Америка
Новая Зеландия;Веллингтон;4602900;Острова
Норвегия;Осло;5275100;Европа
ОАЭ;Абу-Даби;9266971;Азия
Оман;Маскат;4088690;Азия
Пакистан;Исламабад;194521264;Азия
Палау;Мелекеок;21501;Острова
Панама;Панама;3764166;Америка
Папуа-Новая Гвинея;Порт-Морсби;7776115;Острова
Парагвай;Асунсьон;7003404;Америка
Перу;Лима;31488625;Америка
Польша;Варшава;38437239;Европа
Португалия;Лиссабон;10374822;Европа
Республика Конго;Браззавиль;4740992;Африка
Россия;Москва;146544710;Европа
Руанда;Кигали;11262564;Африка
Румыния;Бухарест;19759968;Европа
Сальвадор;Сан-Сальвадор;6146419;Америка
Самоа;Апиа;194523;Острова
Сан-Марино;Сан-Марино;31950;Европа
Сан-Томе и Принсипи;Сан-Томе;194390;Африка
Саудовская Аравия;Эр-Рияд;32248200;Азия
Свазиленд;Мбабане;1304063;Африка
Северная Корея;Пхеньян;25281327;Азия
Северные Марианские острова;Пхеньян;55389;Острова
Сейшелы;Виктория;97026;Африка
Сенегал;Дакар;15589485;Африка
Сент-Винсент и Гренадины;Кингстаун;109644;Америка
Сент-Китс и Невис;Бастер;56183;Америка
Сент-Люсия;Кастри;186383;Америка
Сербия;Белград;7114393;Европа
Сингапур;Сингапур;5469724;Азия
Сирия;Дамаск;18563595;Азия
Словакия;Братислава;5421349;Европа
Словения;Любляна;2086300;Европа
Соединённые Штаты Америки;Вашингтон;324085000;Америка
Соломоновы Острова;Хониара;594934;Острова
Сомали;Могадишо;11079013;Африка
Судан;Хартум;41175541;Африка
Суринам;Парамарибо;547610;Америка
Сьерра-Леоне;Фритаун;6592102;Африка
Таджикистан;Душанбе;8593600;Азия
Таиланд;Бангкок;65323000;Азия
Танзания;Додома;55155473;Африка
Того;Ломе;7496833;Африка
Тонга;Нукуалофа;106915;Острова
Тринидад и Тобаго;Порт-оф-Спейн;1364973;Америка
Тувалу;Фунафути;9943;Острова
Тунис;Тунис;10982754;Африка
Туркмения;Ашхабад;5438670;Азия
Турция;Анкара;78741053;Азия
Уганда;Кампала;40322768;Африка
Узбекистан;Ташкент;31807000;Азия
Украина;Киев;42504274;Европа
Уругвай;Монтевидео;3415866;Америка
Федеративные штаты Микронезии;Паликир;104966;Острова
Фиджи;Сува;897537;Острова
Филиппины;Манила;102921200;Азия
Финляндия;Хельсинки;5471753;Европа
Франция;Париж;64513242;Европа
Хорватия;Загреб;4190669;Европа
Центральноафриканская Республика;Банги;4998493;Африка
Чад;Нджамена;14496739;Африка
Черногория;Подгорица;622218;Европа
Чехия;Прага;10546120;Европа
Чили;Сантьяго;18006407;Америка
Швейцария;Берн;8236600;Европа
Швеция;Стокгольм;9838480;Европа
Шри-Ланка;Коломбо;20810816;Азия
Эквадор;Кито;15427000;Америка
Экваториальная Гвинея;Малабо;845060;Африка
Эритрея;Асмэра;5351680;Африка
Эстония;Таллин;1315944;Европа
Эфиопия;Аддис-Абеба;92206005;Африка
Южная Корея;Сеул;51431100;Азия
Южная Осетия;Цхинвал;53532;Азия
Южно-Африканская Республика;Претория;54956900;Африка
Южный Судан;Джуба;12733427;Африка
Ямайка;Кингстон;2930050;Америка
Япония;Токио;126960000;Азия
