city,population,lat,lon,region_name,region_name_ao,region_iso_code,federal_district,okato,oktmo,kladr_id,fias_id,place_id
Алейск,29.0,52.4922513,82.7793606,Алтайский край,,RU-ALT,Сибирский,1403000000,1703000001,2200000200000,ae716080-f27b-40b6-a555-cf8b518e849e,257210632.0
Барнаул,632.4,53.3479968,83.7798064,Алтайский край,,RU-ALT,Сибирский,1401000000,1701000001,2200000100000,d13945a8-7017-46ab-b1e6-ede1e89317ad,258390190.0
Белокуриха,15.2,51.996152,84.9839604,Алтайский край,,RU-ALT,Сибирский,1404000000,1704000001,2200000300000,e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1,258169961.0
Бийск,199.5,52.5393864,85.2138453,Алтайский край,,RU-ALT,Сибирский,1405000000,1705000001,2200000400000,52f876f6-cb1d-4f23-a22f-b692609fc1e0,258937159.0
Горняк,12.3,50.9979622,81.4643358,Алтайский край,,RU-ALT,Сибирский,1225501000,1625101001,2202700100000,094b3627-2699-4782-8492-4d82aac71958,259062368.0
Заринск,45.9,53.7063476,84.9315081,Алтайский край,,RU-ALT,Сибирский,1406000000,1706000001,2200001100000,142e04ef-dec1-44fa-b553-fac215764374,259060878.0
Змеиногорск,10.2,51.1581094,82.1872547,Алтайский край,,RU-ALT,Сибирский,1214501000,1614101001,2201500100000,e7001b8f-d104-4873-96d4-66339f5e530a,102067728.0
Камень-на-Оби,40.5,53.7913974,81.3545053,Алтайский край,,RU-ALT,Сибирский,1216501000,1616101001,2201800100000,810ca9c7-f10e-4def-9c48-f0aa83168ca7,258670270.0
Новоалтайск,74.6,53.4119759,83.9311069,Алтайский край,,RU-ALT,Сибирский,1413000000,1713000001,2200000800000,aa288d9f-4b2a-42a6-97f0-3502dddfa383,257197346.0
Рубцовск,141.6,51.5012067,81.2078695,Алтайский край,,RU-ALT,Сибирский,1416000000,1716000001,2200000900000,65db5c88-c65c-43f0-9c21-13e15a032d4a,258652879.0
Славгород,29.1,52.999463,78.6459232,Алтайский край,,RU-ALT,Сибирский,1419000000,1719000001,2200001000000,94ae181d-b153-4dd1-8a2f-12852919875f,258666340.0
Яровое,18.1,52.9252146,78.5729775,Алтайский край,,RU-ALT,Сибирский,1430000000,1730000001,2200001200000,e07d57ed-22ce-4020-b59c-f7aae6f091bf,259173960.0
Белогорск,65.3,50.9213415,128.4739471,Амурская область,,RU-AMU,Дальневосточный,10410000000,10710000001,2800000300000,c528e99b-7e81-4290-9cda-8713884472a5,128340463.0
Благовещенск,226.4,50.290659,127.527198,Амурская область,,RU-AMU,Дальневосточный,10401000000,10701000001,2800000100000,8f41253d-6e3b-48a9-842a-25ba894bd093,259088952.0
Завитинск,10.2,50.1064111,129.4391813,Амурская область,,RU-AMU,Дальневосточный,10221501000,10621101001,2800500100000,7b39476f-0edb-4bc3-bb31-6cedfb2aa695,111442996.0
Зея,23.0,53.7340088,127.265787,Амурская область,,RU-AMU,Дальневосточный,10412000000,10712000001,2800000400000,581855f4-f0bc-44a5-a36e-a298279f9ec4,106507650.0
Райчихинск,16.8,49.7941615,129.4112492,Амурская область,,RU-AMU,Дальневосточный,10420000000,10720000001,2800000200000,981b5f3a-f0b6-444f-a6fb-c2bc10804b31,131666161.0
Свободный,54.0,51.3614103,128.1219729,Амурская область,,RU-AMU,Дальневосточный,10430000000,10730000001,2800000500000,dd560dfa-3feb-48e2-aa3b-b71213e7441e,127115115.0
Сковородино,8.9,53.9871095,123.9437205,Амурская область,,RU-AMU,Дальневосточный,10249501000,10649101001,2801700100000,260c545f-883c-440a-852c-c39a65fe4104,259251185.0
Тында,33.2,55.1546441,124.7468904,Амурская область,,RU-AMU,Дальневосточный,10432000000,10732000001,2800000600000,007e010f-e110-4a55-90a7-c4acac623c9b,128600996.0
Циолковский,7.2,51.762481,128.1219846,Амурская область,,RU-AMU,Дальневосточный,10545000000,10770000001,2800001000000,f9ce3255-3f79-4457-919c-d180fa813b6a,258450364.0
Шимановск,18.6,52.0051886,127.7005458,Амурская область,,RU-AMU,Дальневосточный,10440000000,10740000001,2800000700000,809f0591-bb18-40a2-9fac-7d3d0a22c0bf,258858924.0
Архангельск,347.0,64.5394289,40.5169606,Архангельская область,,RU-ARK,Северо-Западный,11401000000,11701000001,2900000100000,06814fb6-0dc3-4bec-ba20-11f894a0faf5,323635764.0
Вельск,22.3,61.066,42.1032789,Архангельская область,,RU-ARK,Северо-Западный,11205501000,11605101001,2900200100000,71051070-fce3-4a4d-a9d9-cd50f6dc6310,302056655.0
Каргополь,10.0,61.5009724,38.9636966,Архангельская область,,RU-ARK,Северо-Западный,11218501000,11518000001,2900600100000,a670f317-f3c4-4dd6-9d27-fa68a8b28b6f,257032146.0
Коряжма,35.7,61.2885948,47.1003015,Архангельская область,,RU-ARK,Северо-Западный,11408000000,11708000001,2900000500000,782acb50-ddfa-4483-bcbd-a5e667976036,257525572.0
Котлас,62.0,61.2528972,46.633242,Архангельская область,,RU-ARK,Северо-Западный,11410000000,11710000001,2900800100000,93adb246-540e-40a2-a0fd-e96ca6796589,258020891.0
Мезень,3.2,65.8398078,44.2532273,Архангельская область,,RU-ARK,Северо-Западный,11242501000,11642101001,2901200100000,8a49f67f-6c48-4160-bd1d-ebc188a69269,110426191.0
Мирный,32.9,62.7645265,40.3360076,Архангельская область,,RU-ARK,Северо-Западный,11525000000,11725000001,2900000200000,977c7606-1b37-4424-84f7-b0c66c3e4b94,113607762.0
Нарьян-Мар,25.1,67.63777777777779,53.00666666666667,Архангельская область,Ненецкий автономный округ,RU-ARK,Северо-Западный,11000000000,11000000,2900000000000,294277aa-e25d-428c-95ad-46719c4ddb44,258372341.0
Новодвинск,37.7,64.4136851,40.8208143,Архангельская область,,RU-ARK,Северо-Западный,11415000000,11715000001,2900000300000,3b0ef6c2-9bcd-44a5-afec-2723bd8190bc,258729510.0
Няндома,19.1,61.6654674,40.2062947,Архангельская область,,RU-ARK,Северо-Западный,11244501000,11644101001,2901300100000,491b0861-0da5-4781-9c2c-521df0ea7af6,258059034.0
Онега,18.5,63.9162928,38.0805031,Архангельская область,,RU-ARK,Северо-Западный,11420000000,11646101001,2901400100000,53e6ddd5-a1fb-4444-89a4-3952ef6f114b,258906763.0
Северодвинск,182.0,64.5625385,39.8180934,Архангельская область,,RU-ARK,Северо-Западный,11430000000,11730000001,2900000400000,32747c72-c08b-4440-b340-91f48d72f9db,257017710.0
Сольвычегодск,1.9,61.3319616,46.920441,Архангельская область,,RU-ARK,Северо-Западный,11227504000,11627104001,2900800300000,a56a44ee-f79d-4e51-b219-c3c828c7e0c0,124679343.0
Шенкурск,4.7,62.1057272,42.8996973,Архангельская область,,RU-ARK,Северо-Западный,11258501000,11658101001,2901900100000,74a26d75-38a6-485a-9468-52dd7c6711fa,259313737.0
Астрахань,529.8,46.3655652,48.0559236,Астраханская область,,RU-AST,Южный,12401000000,12701000001,3000000100000,a101dd8b-3aee-4bda-9c61-9df106f145ff,258305988.0
Ахтубинск,36.5,48.2752034,46.1906462,Астраханская область,,RU-AST,Южный,12205501000,12605101001,3000200100000,8d7acd62-cef4-4d5c-8057-644ee454ce6c,106474151.0
Знаменск,26.7,48.5866291,45.7368019,Астраханская область,,RU-AST,Южный,12519000000,12719000001,3000000200000,54ecd5a8-83d9-4a85-ae2c-6fe6976ab716,258963212.0
Камызяк,15.7,46.110579,48.07333,Астраханская область,,RU-AST,Южный,12225501000,12625101001,3000600100000,bc643e13-dcc5-4fa4-8cb1-94f71c5c18f4,258785247.0
Нариманов,10.8,46.6916565,47.8502476,Астраханская область,,RU-AST,Южный,12240501000,12640101001,3000900100000,46ce55dd-e3e2-4c31-ab3c-273423c2f782,259094455.0
Харабали,17.5,47.408999,47.2525345,Астраханская область,,RU-AST,Южный,12245501000,12645101001,3001100100000,08373220-e187-4094-82de-b8e0864c5f38,105980347.0
Алексеевка,37.8,50.6299647,38.6880342,Белгородская область,,RU-BEL,Центральный,14410000000,14710000001,3100200100000,94969f84-fff4-4ddf-9677-b912b4b2aa3e,118826913.0
Белгород,394.1,50.5976472,36.5856652,Белгородская область,,RU-BEL,Центральный,14401000000,14701000001,3100000100000,02e9c019-ab4d-4fa0-928e-d6c0a41dc256,259323752.0
Бирюч,7.5,50.6484585,38.4005083,Белгородская область,,RU-BEL,Центральный,14242501000,14642151001,3101200100000,eaaf5809-d1e2-4d93-8f05-85dd598cc403,115444238.0
Валуйки,34.2,50.2111207,38.0998772,Белгородская область,,RU-BEL,Центральный,14420000000,14720000001,3100400100000,fe7eea4a-875a-4235-aa61-81c2a37a0440,258688680.0
Грайворон,6.5,50.4862958,35.6663877,Белгородская область,,RU-BEL,Центральный,14232501000,14725000001,3100700100000,51c31ef5-10b3-4011-8e1c-7e7d452afd1b,259522900.0
Губкин,86.2,51.2837123,37.5347759,Белгородская область,,RU-BEL,Центральный,14430000000,14730000001,3100000400000,98b1ec30-6107-4f99-ae3a-9d82492f30a1,322027495.0
Короча,5.8,50.8129041,37.1896436,Белгородская область,,RU-BEL,Центральный,14240501000,14640101001,3101000100000,76fecead-fc02-459a-bce4-848698e645fe,258973834.0
Новый Оскол,18.5,50.7633747,37.8775484,Белгородская область,,RU-BEL,Центральный,14244501000,14735000001,3101400100000,f565b329-4041-4fd2-aa0a-debd5f7c3857,259102554.0
Старый Оскол,223.9,51.2967101,37.8350182,Белгородская область,,RU-BEL,Центральный,14440000000,14740000001,3100000200000,9f5e86b1-b893-43dc-9dd4-ac66573b17d1,258903626.0
Строитель,24.1,50.7845099,36.4887648,Белгородская область,,RU-BEL,Центральный,14258501000,14755000001,3102100100000,19c9f6de-45cd-4c76-9839-abd571698ced,258810620.0
Шебекино,40.9,50.4004883,36.8877889,Белгородская область,,RU-BEL,Центральный,14450000000,14750000001,3100000300000,dc80ddf0-b1ac-4344-98e8-fcfa5295a0a3,259058085.0
Брянск,402.7,53.2419535,34.3652146,Брянская область,,RU-BRY,Центральный,15401000000,15701000001,3200000100000,414b71cf-921e-4bfc-b6e0-f7395d16aaef,257182408.0
Дятьково,26.2,53.5958178,34.3551812,Брянская область,,RU-BRY,Центральный,15216501000,15616104001,3200600100000,fd37b6f0-2406-41ca-86bc-57dd58fd71f4,259573967.0
Жуковка,16.4,53.5340397,33.7302579,Брянская область,,RU-BRY,Центральный,15222501000,15502000001,3200800100000,bd51e883-748a-4c55-ac0a-eee31be1433e,258810296.0
Злынка,5.3,52.4267015,31.7360399,Брянская область,,RU-BRY,Центральный,15223501000,15623101001,3200900100000,9491aba8-fbc1-4da8-8ede-8d49690c393a,99421184.0
Карачев,17.2,53.1296524,34.9888727,Брянская область,,RU-BRY,Центральный,15224501000,15624101001,3201000100000,6f39b866-1fed-4add-aa00-e76992516660,259820477.0
Клинцы,63.0,52.7529119,32.233911,Брянская область,,RU-BRY,Центральный,15415000000,15715000001,3200000300000,59cb1f1f-16f9-47eb-9487-14a6c00e8621,259027886.0
Мглин,7.1,53.0599771,32.8468129,Брянская область,,RU-BRY,Центральный,15236501000,15636101001,3201600100000,a4162075-13cb-4f4a-9974-ef042c8be149,259321750.0
Новозыбков,39.5,52.537173,31.9357991,Брянская область,,RU-BRY,Центральный,15420000000,15720000001,3200000400000,cf4dd9d7-d152-4140-bed2-59d8be5a4e2c,207613812.0
Почеп,16.4,52.9154851,33.4744058,Брянская область,,RU-BRY,Центральный,15244501000,15644101001,3202000100000,434c6101-648e-4266-8aca-bbbc80856d7a,259322007.0
Севск,6.6,52.1483358,34.4918415,Брянская область,,RU-BRY,Центральный,15248501000,15648101001,3202200100000,263c5f6f-335b-4cfa-a234-3c61488c3729,258964529.0
Сельцо,16.4,53.3739884,34.1059172,Брянская область,,RU-BRY,Центральный,15425000000,15725000001,3200000200000,485f4c4d-aced-4b94-b975-88e72b7dcb72,259076004.0
Стародуб,18.2,52.5852257,32.760403,Брянская область,,RU-BRY,Центральный,15250501000,15501000001,3200000600000,78e19000-cb0d-4e86-8205-242ee9de9e75,120840302.0
Сураж,10.7,53.0170888,32.3938878,Брянская область,,RU-BRY,Центральный,15254501000,15654101001,3202500100000,565317d8-daf3-4df1-bf3d-6703b0d1500f,259624742.0
Трубчевск,13.6,52.5791734,33.7660547,Брянская область,,RU-BRY,Центральный,15256501000,15656101001,3202600100000,7c080d22-1f3c-43b0-ba63-1e7de99724c9,259200374.0
Унеча,22.8,52.8461199,32.6757629,Брянская область,,RU-BRY,Центральный,15258501000,15658101001,3202700100000,6a2d5db9-1871-4f1d-b226-bbc6b8400a44,257219558.0
Фокино,12.8,53.4554145,34.4159238,Брянская область,,RU-BRY,Центральный,15216504000,15710000001,3200000500000,8d7c89e7-d9b9-4d7a-907c-a654b3a4d23d,259744391.0
Александров,57.9,56.391819,38.7111123,Владимирская область,,RU-VLA,Центральный,17205501000,17605101001,3300200100000,59e55956-69a2-432f-b880-74cf8ec0b9fe,257575588.0
Владимир,356.9,56.1280804,40.4084376,Владимирская область,,RU-VLA,Центральный,17401000000,17701000001,3300000100000,f66a00e6-179e-4de9-8ecb-78b0277c9f10,258734598.0
Вязники,34.5,56.29773,42.2687398,Владимирская область,,RU-VLA,Центральный,17210501000,17610101001,3300300100000,0114e0c6-4060-4473-bc44-779e5a85e9dd,103797718.0
Гороховец,12.6,56.2021036,42.6926111,Владимирская область,,RU-VLA,Центральный,17215501000,17615101001,3300400100000,e3bc9262-6bcf-42f8-a0bd-a8a00def58bc,258157610.0
Гусь-Хрустальный,52.8,55.6198751,40.6579929,Владимирская область,,RU-VLA,Центральный,17420000000,17720000001,3300000300000,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,258826476.0
Камешково,12.0,56.3490152,40.9955183,Владимирская область,,RU-VLA,Центральный,17225501000,17625101001,3300600100000,13cf312e-735f-4faa-8a7d-9a2622d50438,258149279.0
Карабаново,14.9,56.3131822,38.7034257,Владимирская область,,RU-VLA,Центральный,17205505000,17605105001,3300200200000,4f178a20-53a7-4032-b62b-7337315e0fc1,258749755.0
Киржач,26.7,56.1486863,38.8635701,Владимирская область,,RU-VLA,Центральный,17230501000,17630101001,3300700100000,115db243-1238-412f-a2a1-6d53ef30ba9e,259232208.0
Ковров,135.7,56.3554349,41.3170576,Владимирская область,,RU-VLA,Центральный,17425000000,17725000001,3300000400000,0b4978e2-e64c-4db1-b84d-93cf34bdb04b,258583963.0
Кольчугино,42.0,56.3327254,39.391336,Владимирская область,,RU-VLA,Центральный,17240501000,17640101001,3300900100000,8f9faad4-ff93-471d-b0c0-c8e5c0162dee,257232203.0
Костерево,8.1,55.9337222,39.6247398,Владимирская область,,RU-VLA,Центральный,17246510000,17646110001,3301200200000,50b6831d-52f4-4905-93d7-8e42812cd947,98090251.0
Курлово,5.8,55.452698,40.6124108,Владимирская область,,RU-VLA,Центральный,17220515000,17620115001,3300500200000,4f68f8c7-bf54-48a6-8165-0313d75a83c2,258801667.0
Лакинск,14.1,56.0180587,39.956551,Владимирская область,,RU-VLA,Центральный,17250503000,17650110001,3301400200000,67eb946d-db25-4ad2-9852-6436ed35b39e,259594499.0
Меленки,13.5,55.3387515,41.6340046,Владимирская область,,RU-VLA,Центральный,17242501000,17642101001,3301000100000,710f2d29-5c22-4d4d-be27-04713381c676,257175598.0
Муром,107.0,55.5630311,42.0231362,Владимирская область,,RU-VLA,Центральный,17435000000,17735000001,3300000500000,0d7d5d87-f0a6-428f-b655-d3be106c64a2,259275525.0
Петушки,12.5,55.9298134,39.4508075,Владимирская область,,RU-VLA,Центральный,17246501000,17646101001,3301200100000,b7ba6bfc-4b0c-4b05-88bd-267d50b36850,259014746.0
Покров,16.7,55.9166398,39.1734526,Владимирская область,,RU-VLA,Центральный,17246520000,17646120001,3301200300000,f1c2252b-c3da-43f4-86ea-5f05812e99d5,257196329.0
Радужный,18.3,55.9960277,40.3321855,Владимирская область,,RU-VLA,Центральный,17537000000,17737000001,3300000200000,c0ac6992-e48e-4648-b176-f56e7bcda57b,258750764.0
Собинка,17.3,55.9939169,40.0179653,Владимирская область,,RU-VLA,Центральный,17250501000,17650101001,3301400100000,d33946c4-bda9-43a5-b5c4-1157ae28149a,259718302.0
Струнино,12.9,56.3749967,38.5839667,Владимирская область,,RU-VLA,Центральный,17205508000,17605108001,3300200300000,9f490940-079f-4bf9-9931-48952c1bea4f,258662166.0
Судогда,10.1,55.9498056,40.8562939,Владимирская область,,RU-VLA,Центральный,17252501000,17652101001,3301500100000,469a6b26-cb42-4db7-8fe7-758b946956c4,259378284.0
Суздаль,9.6,56.4274441,40.4525692,Владимирская область,,RU-VLA,Центральный,17254501000,17654101001,3301600100000,f347f78e-f991-4b0b-bfbd-600ac927b009,258652737.0
Юрьев-Польский,18.1,56.4937757,39.6680539,Владимирская область,,RU-VLA,Центральный,17256501000,17656101001,3301700100000,4859c31b-fba4-460a-9543-befc791da8a9,115283540.0
Волгоград,1009.0,48.7070042,44.5170339,Волгоградская область,,RU-VGG,Южный,18401000000,18701000001,3400000100000,a52b7389-0cfe-46fb-ae15-298652a64cf8,259051115.0
Волжский,323.9,48.7978209,44.7462538,Волгоградская область,,RU-VGG,Южный,18410000000,18710000001,3400000200000,bc5ed788-84c8-493e-9598-7a15a9f1e4c1,259471499.0
Дубовка,13.7,49.0554742,44.8270085,Волгоградская область,,RU-VGG,Южный,18208501000,18608101001,3400600100000,66a2c07f-45b1-47d2-ab51-fa16288d07a6,124721596.0
Жирновск,15.5,50.9768814,44.7858202,Волгоградская область,,RU-VGG,Южный,18212501000,18612101001,3400800100000,1f9bda6f-45a5-4bf5-b1d8-434d763ea834,124876111.0
Калач-на-Дону,23.6,48.6889024,43.5306303,Волгоградская область,,RU-VGG,Южный,18216501000,18616101001,3401000100000,acc6220a-f624-4880-84d8-670319b0e25d,126130601.0
Камышин,109.9,50.0651529,45.3844202,Волгоградская область,,RU-VGG,Южный,18415000000,18715000001,3400000300000,0f9fb687-8d03-41a2-968f-033a2ba44f2f,259057040.0
Котельниково,20.4,47.6310259,43.1330872,Волгоградская область,,RU-VGG,Южный,18224501000,18624101001,3401400100000,ec52e094-acd0-49ab-bc84-9ce0aa80c7c0,126131017.0
Котово,21.4,50.3205766,44.8030699,Волгоградская область,,RU-VGG,Южный,18226501000,18626101001,3401500100000,6a9dded3-afcf-46ba-9881-5048c3bec5a3,258909710.0
