Id,Имя,Выжил,Класс,Пол,Возраст,БратьяИСупруги,РодителиИДети,ЦенаБилета,ПортПосадки
1,Owen Harris Braund,0,3,муж,22,1,0,7.25,Саутгемптон
2,John Bradley Cumings,1,1,жен,38,1,0,71.2833,Шербур
3,Laina Heikkinen,1,3,жен,26,0,0,7.925,Саутгемптон
4,Jacques Heath Futrelle,1,1,жен,35,1,0,53.1,Саутгемптон
5,William Henry Allen,0,3,муж,35,0,0,8.05,Саутгемптон
6,James Moran,0,3,муж,,0,0,8.4583,Квинстаун
7,Timothy J McCarthy,0,1,муж,54,0,0,51.8625,Саутгемптон
8,Gosta Leonard Palsson,0,3,муж,2,3,1,21.075,Саутгемптон
9,Oscar W Johnson,1,3,жен,27,0,2,11.1333,Саутгемптон
10,Nicholas Adele Nasser,1,2,жен,14,1,0,30.0708,Шербур
11,Marguerite Rut Sandstrom,1,3,жен,4,1,1,16.7,Саутгемптон
12,Elizabeth Bonnell,1,1,жен,58,0,0,26.55,Саутгемптон
13,William Henry Saundercock,0,3,муж,20,0,0,8.05,Саутгемптон
14,Anders Johan Andersson,0,3,муж,39,1,5,31.275,Саутгемптон
15,Hulda Amanda Vestrom,0,3,жен,14,0,0,7.8542,Саутгемптон
16,Mary D Hewlett,1,2,жен,55,0,0,16,Саутгемптон
17,Eugene Rice,0,3,муж,2,4,1,29.125,Квинстаун
18,Charles Eugene Williams,1,2,муж,,0,0,13,Саутгемптон
19,Julius Emelia Vander Planke,0,3,жен,31,1,0,18,Саутгемптон
20,Fatima Masselmani,1,3,жен,,0,0,7.225,Шербур
21,Joseph J Fynney,0,2,муж,35,0,0,26,Саутгемптон
22,Lawrence Beesley,1,2,муж,34,0,0,13,Саутгемптон
23,Anna Annie McGowan,1,3,жен,15,0,0,8.0292,Квинстаун
24,William Thompson Sloper,1,1,муж,28,0,0,35.5,Саутгемптон
25,Torborg Danira Palsson,0,3,жен,8,3,1,21.075,Саутгемптон
26,Carl Oscar Asplund,1,3,жен,38,1,5,31.3875,Саутгемптон
27,Farred Chehab Emir,0,3,муж,,0,0,7.225,Шербур
28,Charles Alexander Fortune,0,1,муж,19,3,2,263,Саутгемптон
29,Ellen Nellie O'Dwyer,1,3,жен,,0,0,7.8792,Квинстаун
30,Lalio Todoroff,0,3,муж,,0,0,7.8958,Саутгемптон
31,Manuel E Uruchurtu,0,1,муж,40,0,0,27.7208,Шербур
32,William Augustus Spencer,1,1,жен,,1,0,146.5208,Шербур
33,Mary Agatha Glynn,1,3,жен,,0,0,7.75,Квинстаун
34,Edward H Wheadon,0,2,муж,66,0,0,10.5,Саутгемптон
35,Edgar Joseph Meyer,0,1,муж,28,1,0,82.1708,Шербур
36,Alexander Oskar Holverson,0,1,муж,42,1,0,52,Саутгемптон
37,Hanna Mamee,1,3,муж,,0,0,7.2292,Шербур
38,Ernest Charles Cann,0,3,муж,21,0,0,8.05,Саутгемптон
39,Augusta Maria Vander Planke,0,3,жен,18,2,0,18,Саутгемптон
40,Jamila Nicola-Yarred,1,3,жен,14,1,0,11.2417,Шербур
41,Johan Johanna Ahlin,0,3,жен,40,1,0,9.475,Саутгемптон
42,William John Turpin,0,2,жен,27,1,0,21,Саутгемптон
43,Theodor Kraeff,0,3,муж,,0,0,7.8958,Шербур
44,Simonne Marie Laroche,1,2,жен,3,1,2,41.5792,Шербур
45,Margaret Delia Devaney,1,3,жен,19,0,0,7.8792,Квинстаун
46,William John Rogers,0,3,муж,,0,0,8.05,Саутгемптон
47,Denis Lennon,0,3,муж,,1,0,15.5,Квинстаун
48,Bridget O'Driscoll,1,3,жен,,0,0,7.75,Квинстаун
49,Youssef Samaan,0,3,муж,,2,0,21.6792,Шербур
50,Josefine Arnold-Franchi,0,3,жен,18,1,0,17.8,Саутгемптон
51,Juha Niilo Panula,0,3,муж,7,4,1,39.6875,Саутгемптон
52,Richard Cater Nosworthy,0,3,муж,21,0,0,7.8,Саутгемптон
53,Henry Sleeper Harper,1,1,жен,49,1,0,76.7292,Шербур
54,Lizzie Elizabeth Faunthorpe,1,2,жен,29,1,0,26,Саутгемптон
55,Engelhart Cornelius Ostby,0,1,муж,65,0,1,61.9792,Шербур
56,Hugh Woolner,1,1,муж,,0,0,35.5,Саутгемптон
57,Emily Rugg,1,2,жен,21,0,0,10.5,Саутгемптон
58,Mansouer Novel,0,3,муж,28.5,0,0,7.2292,Шербур
59,Constance Mirium West,1,2,жен,5,1,2,27.75,Саутгемптон
60,William Frederick Goodwin,0,3,муж,11,5,2,46.9,Саутгемптон
61,Orsen Sirayanian,0,3,муж,22,0,0,7.2292,Шербур
62,Amelie Icard,1,1,жен,38,0,0,80,
63,Henry Birkhardt Harris,0,1,муж,45,1,0,83.475,Саутгемптон
64,Harald Skoog,0,3,муж,4,3,2,27.9,Саутгемптон
65,Albert A Stewart,0,1,муж,,0,0,27.7208,Шербур
66,Gerios Moubarek,1,3,муж,,1,1,15.2458,Шербур
67,Elizabeth Ramell Nye,1,2,жен,29,0,0,10.5,Саутгемптон
68,Ernest James Crease,0,3,муж,19,0,0,8.1583,Саутгемптон
69,Erna Alexandra Andersson,1,3,жен,17,4,2,7.925,Саутгемптон
70,Vincenz Kink,0,3,муж,26,2,0,8.6625,Саутгемптон
71,Stephen Curnow Jenkin,0,2,муж,32,0,0,10.5,Саутгемптон
72,Lillian Amy Goodwin,0,3,жен,16,5,2,46.9,Саутгемптон
73,Ambrose Jr Hood,0,2,муж,21,0,0,73.5,Саутгемптон
74,Apostolos Chronopoulos,0,3,муж,26,1,0,14.4542,Шербур
75,Lee Bing,1,3,муж,32,0,0,56.4958,Саутгемптон
76,Sigurd Hansen Moen,0,3,муж,25,0,0,7.65,Саутгемптон
77,Ivan Staneff,0,3,муж,,0,0,7.8958,Саутгемптон
78,Rahamin Haim Moutal,0,3,муж,,0,0,8.05,Саутгемптон
79,Alden Gates Caldwell,1,2,муж,0.83,0,2,29,Саутгемптон
80,Elizabeth Dowdell,1,3,жен,30,0,0,12.475,Саутгемптон
81,Achille Waelens,0,3,муж,22,0,0,9,Саутгемптон
