Id,model,year,price_k_rub,transmission,mileage_km,fuelType,l_100km,engineSize,Make
10439,E Class,2019,3654,Automatic,3219,Diesel,4.0,2,merc
856,GLE Class,2016,3553,Semi-Auto,28204,Diesel,7.2,3,merc
8748,Fiesta,2018,1330,Manual,13549,Petrol,4.5,1,ford
1331,A Class,2018,2117,Semi-Auto,13324,Petrol,5.3,1.3,merc
10206,Tiguan,2019,2923,Manual,17867,Diesel,5.9,2,VW
9632,X3,2016,1451,Automatic,134145,Diesel,5.2,2,BMW
10379,A Class,2017,1583,Automatic,22214,Diesel,3.8,1.5,merc
572,Fabia,2017,1051,Manual,22352,Petrol,4.4,1,skoda
5556,A3,2018,2152,Manual,4300,Petrol,6.7,1.5,Audi
6670,T-Cross,2019,1725,Manual,9860,Diesel,5.3,1.6,VW
8037,C Class,2019,2516,Automatic,689,Petrol,6.4,1.5,merc
14314,Touran,2017,1978,Manual,19652,Petrol,5.7,1.4,VW
5513,4 Series,2019,3091,Automatic,17120,Petrol,7.2,3,BMW
3060,Golf,2019,2537,Semi-Auto,14333,Petrol,7.5,2,VW
12483,C Class,2016,1776,Automatic,57041,Diesel,4.7,2.1,merc
799,TT,2016,1522,Manual,63236,Diesel,4.5,2,Audi
13232,Scirocco,2017,1791,Automatic,37770,Petrol,6.4,2,VW
977,Karoq,2019,2334,Automatic,9556,Petrol,5.6,1.5,skoda
2909,Corsa,2016,741,Manual,36210,Petrol,5.2,1.4,vauxhall
3293,Corsa,2004,102,Manual,104607,Petrol,5.8,1.2,vauxhall
8041,Focus,2018,1929,Manual,23628,Petrol,6.8,2,ford
503,CLS Class,2016,2334,Semi-Auto,41096,Diesel,5.5,3,merc
508,Tourneo Custom,2019,2131,Manual,8208,Diesel,8.9,2,ford
11349,Tiguan,2019,3035,Semi-Auto,24140,Diesel,7.2,2,VW
3292,GLA Class,2015,1522,Manual,51544,Diesel,4.5,2.1,merc
6660,Fiesta,2017,827,Manual,43462,Petrol,5.2,1.2,ford
12716,E Class,2019,2586,Automatic,3219,Diesel,4.2,2,merc
1997,Octavia,2017,1269,Semi-Auto,25349,Petrol,4.9,1.4,skoda
2139,Golf,2019,2806,Automatic,18313,Petrol,7.8,2,VW
8057,Focus,2018,1817,Automatic,21469,Petrol,5.9,1.5,ford
3521,A3,2015,1319,Manual,80417,Petrol,5.4,1.4,Audi
13096,EcoSport,2019,1817,Manual,2414,Petrol,5.5,1,ford
13872,Focus,2016,911,Manual,111044,Diesel,3.8,1.5,ford
10454,A4,2019,3451,Automatic,4023,Petrol,7.9,2,Audi
1962,4 Series,2015,1693,Semi-Auto,59612,Diesel,4.9,2,BMW
1402,Fiesta,2016,944,Manual,29776,Petrol,4.3,1,ford
1344,X1,2019,2884,Automatic,198,Diesel,4.7,2,BMW
12291,A Class,2017,1309,Manual,26409,Diesel,3.5,1.5,merc
13240,Scirocco,2016,1390,Manual,61882,Diesel,4.2,2,VW
6145,E Class,2019,2536,Automatic,23910,Diesel,3.9,2,merc
2284,Kuga,2016,1522,Manual,57973,Diesel,5.2,2,ford
14027,Arteon,2019,2842,Semi-Auto,16074,Petrol,8.6,2,VW
727,Corsa,2016,667,Manual,61565,Petrol,5.1,1.4,vauxhall
3151,Tucson,2016,1197,Manual,60959,Diesel,4.6,1.7,hyundi
12779,Up,2019,995,Manual,2433,Petrol,5.2,1,VW
5022,Scala,2019,1614,Manual,2494,Petrol,5.7,1,skoda
13043,Scirocco,2014,980,Manual,102381,Diesel,4.5,2,VW
14893,Tiguan Allspace,2019,2740,Semi-Auto,10523,Diesel,7.2,2,VW
6543,Viva,2017,639,Manual,36210,Petrol,4.5,1,vauxhall
3407,A1,2016,1166,Manual,33516,Petrol,4.9,1.4,Audi
1872,Fiesta,2019,1218,Manual,30029,Petrol,5.0,1,ford
920,A1,2016,1370,Manual,34054,Petrol,5.1,1.4,Audi
11609,Fiesta,2014,730,Manual,65798,Diesel,3.7,1.5,ford
7091,A3,2016,2330,Semi-Auto,69678,Petrol,7.0,2,Audi
3413,Santa Fe,2020,3857,Semi-Auto,14,Diesel,7.2,2.2,hyundi
2351,Yaris,2018,965,Manual,44788,Petrol,4.8,1.5,toyota
5724,B Class,2019,1978,Semi-Auto,12389,Petrol,5.5,1.6,merc
7927,A4,2017,1928,Automatic,96560,Diesel,4.4,2,Audi
10724,M3,2005,1116,Manual,185074,Petrol,13.6,3.2,BMW
9290,Fiesta,2017,1128,Manual,39397,Petrol,5.9,1.6,ford
1845,Yaris,2016,831,Manual,46017,Petrol,4.9,1.3,toyota
11891,Sharan,2019,2740,Manual,333,Diesel,6.5,2,VW
8241,E Class,2019,2639,Semi-Auto,13512,Diesel,3.9,2,merc
14070,Focus,2017,1065,Manual,54718,Diesel,4.0,2,ford
4238,2 Series,2019,2028,Manual,9175,Diesel,4.4,2,BMW
1413,Corsa,2018,983,Manual,19285,Petrol,5.1,1.4,vauxhall
3524,Fiesta,2018,1015,Manual,26662,Petrol,5.1,1.1,ford
21,I20,2015,812,Manual,10321,Petrol,5.1,1.2,hyundi
4269,Q2,2019,2436,Semi-Auto,6212,Diesel,5.9,2,Audi
10544,Q5,2019,3857,Automatic,322,Petrol,8.8,2,Audi
4306,3 Series,2019,3348,Automatic,4122,Diesel,5.7,2,BMW
10230,1 Series,2016,1259,Manual,68090,Diesel,4.3,2,BMW
14341,Kuga,2017,1446,Manual,43153,Petrol,6.2,1.5,ford
636,Octavia,2018,1238,Manual,18279,Diesel,4.1,1.6,skoda
1936,C Class,2015,1077,Manual,133651,Diesel,4.0,1.6,merc
2678,Yaris,2018,1420,Automatic,15990,Hybrid,3.7,1.5,toyota
2386,I800,2016,1290,Automatic,77311,Diesel,8.4,2.5,hyundi
13289,Beetle,2018,1725,Manual,24929,Petrol,5.5,1.2,VW
686,A1,2017,1522,Manual,39311,Petrol,5.1,1.4,Audi
676,Corsa,2019,842,Manual,8933,Petrol,6.5,1.4,vauxhall
1358,3 Series,2019,3531,Automatic,198,Diesel,5.6,2,BMW
15700,Edge,2017,1657,Manual,85623,Diesel,5.8,2,ford
4678,Focus,2018,1812,Manual,14132,Petrol,6.8,2,ford
3573,2 Series,2019,2129,Semi-Auto,8797,Petrol,7.2,1.5,BMW
1132,Golf,2019,1756,Manual,10298,Petrol,6.0,1.5,VW
5926,Passat,2017,1233,Manual,52658,Diesel,4.1,2,VW
3409,X5,2019,5784,Semi-Auto,14793,Diesel,8.4,3,BMW
9749,Fiesta,2020,1726,Manual,1009,Petrol,5.2,1,ford
11112,Tiguan,2016,1572,Manual,63965,Diesel,4.8,2,VW
6490,Fiesta,2018,1268,Manual,18025,Petrol,5.1,1.1,ford
1535,Octavia,2014,900,Semi-Auto,76434,Diesel,4.5,2,skoda
5849,A5,2019,3238,Automatic,6106,Diesel,6.2,2,Audi
9646,Z4,2014,1370,Automatic,70854,Petrol,6.8,2,BMW
1620,C Class,2017,1976,Automatic,57291,Petrol,5.9,2,merc
8849,Fiesta,2017,893,Manual,40967,Petrol,4.3,1,ford
11538,Tiguan,2019,2538,Manual,6608,Diesel,5.9,2,VW
9904,Polo,2016,861,Manual,68004,Petrol,4.7,1.2,VW
7451,Q5,2017,2435,Automatic,43452,Diesel,6.2,3,Audi
13575,Vivaro,2015,1421,Manual,65771,Diesel,6.6,1.6,vauxhall
1044,Q5,2017,3349,Semi-Auto,52820,Diesel,6.7,3,Audi
9827,Kuga,2017,1624,Manual,17954,Diesel,5.2,2,ford
9746,3 Series,2016,1218,Automatic,157072,Diesel,4.4,2,BMW
9005,Mokka X,2017,1268,Semi-Auto,74276,Petrol,6.5,1.4,vauxhall
1930,C Class,2020,3857,Semi-Auto,8047,Petrol,6.1,1.5,merc
5986,Passat,2017,2284,Semi-Auto,44258,Hybrid,1.7,1.4,VW
9411,B Class,2016,1421,Semi-Auto,65178,Diesel,4.1,2.1,merc
7664,Mokka X,2016,1167,Manual,26895,Petrol,6.0,1.4,vauxhall
9562,C Class,2015,1928,Semi-Auto,40554,Diesel,4.4,2.1,merc
8251,Mokka X,2019,1309,Manual,31718,Petrol,7.2,1.4,vauxhall
2434,A4,2020,4405,Semi-Auto,13679,Diesel,7.0,3,Audi
9747,Fiesta,2013,761,Manual,75789,Petrol,4.3,1,ford
15151,Fiesta,2016,883,Manual,19489,Petrol,4.3,1,ford
4311,A6,2019,3131,Semi-Auto,8047,Diesel,5.6,2,Audi
13153,Scirocco,2017,1654,Manual,40262,Petrol,6.0,2,VW
9693,Crossland X,2018,1148,Manual,30072,Petrol,5.2,1.2,vauxhall
6424,Avensis,2009,293,Manual,183465,Diesel,5.1,2,toyota
8987,C Class,2018,2385,Semi-Auto,35405,Diesel,4.6,2,merc
